#node1,node2,combined_score
TP53,CREBBP,0.999
TCF7L2,CTNNB1,0.999
RELA,CREBBP,0.999
CREB1,CREBBP,0.999
HDAC1,RB1,0.999
HDAC1,NFKB1,0.999
JUN,FOS,0.999
E2F1,RB1,0.999
SMAD4,SMAD1,0.999
MYC,MAX,0.999
HDAC1,SP1,0.999
JUN,ATF2,0.999
GTF2F1,GTF2B,0.999
ARNT,HIF1A,0.999
SP1,ESR1,0.999
RELA,NFKB1,0.999
GTF2B,TBP,0.999
STAT1,STAT2,0.998
SP1,TP53,0.998
HDAC1,ESR1,0.998
CREBBP,ESR1,0.998
AR,CTNNB1,0.998
RELA,HDAC1,0.998
HDAC1,TP53,0.998
HIF1A,CREBBP,0.998
CTNNB1,CREBBP,0.996
DR1,TBP,0.996
SP1,SP3,0.996
JUN,ATF3,0.996
STAT1,CREBBP,0.996
ID1,MYOD1,0.994
MYB,CREBBP,0.994
SP3,TP53,0.992
SMAD4,SP1,0.992
STAT1,STAT3,0.992
JUN,CREBBP,0.992
TP53,TBP,0.992
HDAC1,SP3,0.992
SP1,YY1,0.992
RELA,SP1,0.992
FOS,JUNB,0.989
FOS,JUND,0.986
HDAC1,HIF1A,0.986
HDAC1,YY1,0.985
GTF2F1,TBP,0.984
AR,CREBBP,0.982
E2F1,SP1,0.982
HNF4A,CREBBP,0.982
RELA,ESR1,0.982
ATF2,CREBBP,0.982
FOS,ATF2,0.976
RELA,REL,0.976
CREB1,TP53,0.972
NFKB1,RELB,0.972
HDAC1,STAT3,0.965
SP1,RB1,0.964
AR,SP1,0.963
RELA,STAT3,0.962
CREBBP,MYOD1,0.962
HIF1A,TP53,0.962
MYC,SP1,0.962
GTF2B,CREBBP,0.962
HIF1A,SP1,0.962
TP53,EGR1,0.962
CTNNB1,NFKB1,0.962
TP53,YY1,0.96
HDAC1,TGIF1,0.96
AR,HDAC1,0.96
HDAC1,CTNNB1,0.96
CEBPB,ESR1,0.96
RELA,RELB,0.956
NFATC2,JUN,0.954
JUN,ATF4,0.952
SMAD9,SMAD4,0.949
ATF4,CREBBP,0.944
STAT1,FOS,0.937
ATF4,FOS,0.937
JUN,TBP,0.935
REL,NFKB1,0.927
JUN,SP1,0.922
MYC,HDAC1,0.921
FOS,TBP,0.92
SP3,ESR1,0.917
AR,STAT3,0.917
RELA,CEBPB,0.917
NR3C1,NFKB1,0.917
RELA,NR3C1,0.917
ETS1,CREBBP,0.917
HDAC1,MYOD1,0.916
SP1,NFKB1,0.916
ETS2,CREBBP,0.916
SP1,PPARG,0.915
FOXO1,ESR1,0.915
STAT6,CREBBP,0.915
TP53,NFYB,0.915
PPARG,ESR1,0.915
SP1,CEBPB,0.915
HDAC1,E2F1,0.915
RELA,TBP,0.913
CEBPB,RB1,0.913
AR,RB1,0.913
E2F1,TBP,0.913
STAT3,CREBBP,0.913
FOXO1,CREBBP,0.913
SMAD1,CREBBP,0.913
TP53,NR3C1,0.913
SMAD4,CEBPB,0.911
CEBPA,HDAC1,0.911
CREBBP,NR3C1,0.911
CTNNB1,HNF1A,0.911
SP1,STAT3,0.911
HDAC1,NR3C1,0.909
NFATC2,FOS,0.899
ETS1,FOXO1,0.899
SMAD5,SMAD4,0.891
ATF4,CEBPG,0.887
HDAC1,ATF3,0.881
ETS1,AR,0.877
ETS1,NFKB1,0.864
HDAC1,CREBBP,0.864
MYC,TBP,0.863
STAT3,NFKB1,0.859
STAT5B,STAT3,0.859
RELA,STAT1,0.857
STAT1,STAT5A,0.855
CTNNB1,HNF4A,0.855
MYC,JUN,0.829
ETS1,JUN,0.826
SP1,CREBBP,0.824
AR,SMAD1,0.819
PAX6,AR,0.818
ATF3,TP53,0.817
JUN,HIF1A,0.812
HDAC1,CEBPB,0.812
FOS,RB1,0.812
JUN,MYOD1,0.812
JUN,NR3C1,0.812
ETS1,TP53,0.812
CEBPA,ATF2,0.812
CEBPB,EGR1,0.812
TP53,ESR1,0.812
AR,TP53,0.812
RELA,JUN,0.812
STAT5B,NR3C1,0.812
SP1,HNF4A,0.812
FOXO1,AR,0.812
JUN,RB1,0.812
STAT3,NR3C1,0.812
NFKB1,ESR1,0.812
CEBPB,ATF2,0.812
HDAC1,PPARG,0.812
PPARG,CREBBP,0.812
RB1,MYOD1,0.812
STAT2,CREBBP,0.812
FOXO1,HNF4A,0.812
STAT1,IRF1,0.812
CEBPA,CEBPB,0.812
AR,JUN,0.812
CREB1,HDAC1,0.812
NFATC2,CREBBP,0.812
STAT5A,ESR1,0.812
CREB1,NR3C1,0.812
RELA,GTF2B,0.812
HDAC1,JUN,0.811
GTF2B,ESR1,0.808
RB1,ATF2,0.808
FOS,CEBPG,0.808
SP1,NFYB,0.808
MYC,CREBBP,0.808
FOXA2,HOXA5,0.808
CEBPA,NR3C1,0.808
JUN,ESR1,0.808
CEBPA,RB1,0.808
MEF2C,MYOD1,0.808
HIF1A,STAT3,0.808
TBP,ESR1,0.808
RELA,MYC,0.808
GTF2F1,AR,0.808
FOS,CREBBP,0.806
CREBBP,HNF1A,0.806
SP1,EGR1,0.806
RB1,TBP,0.8
ATF3,ATF4,0.8
E2F1,CREBBP,0.798
ATF3,JUNB,0.788
JUN,ETS2,0.777
CEBPG,ATF2,0.76
ATF3,ATF2,0.758
ATF2,YY1,0.741
JUNB,ATF2,0.717
ATF3,JUND,0.717
TCF7L2,CREBBP,0.703
HDAC1,RELB,0.692
HDAC1,REL,0.692
CREBBP,TBP,0.69
MEF2A,TBP,0.683
CEBPA,CEBPG,0.679
JUND,TBP,0.677
CEBPA,FOS,0.669
JUN,GATA2,0.659
HDAC1,SMAD1,0.655
CREB1,DR1,0.643
HDAC1,NFYB,0.638
JUN,STAT6,0.638
RELA,CTNNB1,0.633
HAND2,HAND1,0.632
HDAC1,STAT5A,0.629
JUN,STAT1,0.625
JUN,STAT3,0.625
JUN,STAT4,0.625
JUNB,CREBBP,0.623
ACTB,GAPDH,0.623
CREBBP,NFYB,0.622
HDAC1,FOXG1,0.618
HDAC1,STAT2,0.615
CREB1,JUN,0.612
CEBPA,ATF4,0.609
SMAD4,JUNB,0.607
HDAC1,STAT1,0.606
REL,CREBBP,0.606
HSF1,TBP,0.606
JUN,GTF2B,0.606
CREBBP,EGR1,0.603
JUN,EGR1,0.602
GATA3,SP1,0.602
SP3,RB1,0.601
MEF2C,SP1,0.601
GATA2,CREBBP,0.601
RB1,YY1,0.601
