Species	geneA	geneB	confidence	geneRegType
HS	PPP3CA	NFATC1	1	1
HS	PPP3CA	NFATC2	1	1
HS	PPP3CA	NFATC3	1	1
HS	PPP3CA	NFATC4	1	1
HS	PPP3CB	NFATC1	1	1
HS	PPP3CB	NFATC2	1	1
HS	PPP3CB	NFATC3	1	1
HS	PPP3CB	NFATC4	1	1
HS	PPP3CC	NFATC1	1	1
HS	PPP3CC	NFATC2	1	1
HS	PPP3CC	NFATC3	1	1
HS	PPP3CC	NFATC4	1	1
HS	PPP3R1	NFATC1	1	1
HS	PPP3R1	NFATC2	1	1
HS	PPP3R1	NFATC3	1	1
HS	PPP3R1	NFATC4	1	1
HS	PPP3R2	NFATC1	1	1
HS	PPP3R2	NFATC2	1	1
HS	PPP3R2	NFATC3	1	1
HS	PPP3R2	NFATC4	1	1
HS	PLCB1	CAMK2A	1	2
HS	PLCB1	CAMK2B	1	2
HS	PLCB1	CAMK2D	1	2
HS	PLCB1	CAMK2G	1	2
HS	PLCB1	PPP3CA	1	2
HS	PLCB1	PPP3CB	1	2
HS	PLCB1	PPP3CC	1	2
HS	PLCB1	PPP3R1	1	2
HS	PLCB1	PPP3R2	1	2
HS	PLCB1	PRKCA	1	2
HS	PLCB1	PRKCB	1	2
HS	PLCB1	PRKCG	1	2
HS	PLCB2	CAMK2A	1	2
HS	PLCB2	CAMK2B	1	2
HS	PLCB2	CAMK2D	1	2
HS	PLCB2	CAMK2G	1	2
HS	PLCB2	PPP3CA	1	2
HS	PLCB2	PPP3CB	1	2
HS	PLCB2	PPP3CC	1	2
HS	PLCB2	PPP3R1	1	2
HS	PLCB2	PPP3R2	1	2
HS	PLCB2	PRKCA	1	2
HS	PLCB2	PRKCB	1	2
HS	PLCB2	PRKCG	1	2
HS	PLCB3	CAMK2A	1	2
HS	PLCB3	CAMK2B	1	2
HS	PLCB3	CAMK2D	1	2
HS	PLCB3	CAMK2G	1	2
HS	PLCB3	PPP3CA	1	2
HS	PLCB3	PPP3CB	1	2
HS	PLCB3	PPP3CC	1	2
HS	PLCB3	PPP3R1	1	2
HS	PLCB3	PPP3R2	1	2
HS	PLCB3	PRKCA	1	2
HS	PLCB3	PRKCB	1	2
HS	PLCB3	PRKCG	1	2
HS	PLCB4	CAMK2A	1	2
HS	PLCB4	CAMK2B	1	2
HS	PLCB4	CAMK2D	1	2
HS	PLCB4	CAMK2G	1	2
HS	PLCB4	PPP3CA	1	2
HS	PLCB4	PPP3CB	1	2
HS	PLCB4	PPP3CC	1	2
HS	PLCB4	PPP3R1	1	2
HS	PLCB4	PPP3R2	1	2
HS	PLCB4	PRKCA	1	2
HS	PLCB4	PRKCB	1	2
HS	PLCB4	PRKCG	1	2
HS	FZD10	DVL1	1	3
HS	FZD10	DVL2	1	3
HS	FZD10	DVL3	1	3
HS	FZD10	PLCB1	1	3
HS	FZD10	PLCB2	1	3
HS	FZD10	PLCB3	1	3
HS	FZD10	PLCB4	1	3
HS	FZD2	DVL1	1	3
HS	FZD2	DVL2	1	3
HS	FZD2	DVL3	1	3
HS	FZD2	PLCB1	1	3
HS	FZD2	PLCB2	1	3
HS	FZD2	PLCB3	1	3
HS	FZD2	PLCB4	1	3
HS	FZD5	DVL1	1	3
HS	FZD5	DVL2	1	3
HS	FZD5	DVL3	1	3
HS	FZD5	PLCB1	1	3
HS	FZD5	PLCB2	1	3
HS	FZD5	PLCB3	1	3
HS	FZD5	PLCB4	1	3
HS	FZD3	DVL1	1	3
HS	FZD3	DVL2	1	3
HS	FZD3	DVL3	1	3
HS	FZD3	PLCB1	1	3
HS	FZD3	PLCB2	1	3
HS	FZD3	PLCB3	1	3
HS	FZD3	PLCB4	1	3
HS	FZD1	DVL1	1	3
HS	FZD1	DVL2	1	3
HS	FZD1	DVL3	1	3
HS	FZD1	PLCB1	1	3
HS	FZD1	PLCB2	1	3
HS	FZD1	PLCB3	1	3
HS	FZD1	PLCB4	1	3
HS	FZD4	DVL1	1	3
HS	FZD4	DVL2	1	3
HS	FZD4	DVL3	1	3
HS	FZD4	PLCB1	1	3
HS	FZD4	PLCB2	1	3
HS	FZD4	PLCB3	1	3
HS	FZD4	PLCB4	1	3
HS	FZD6	DVL1	1	3
HS	FZD6	DVL2	1	3
HS	FZD6	DVL3	1	3
HS	FZD6	PLCB1	1	3
HS	FZD6	PLCB2	1	3
HS	FZD6	PLCB3	1	3
HS	FZD6	PLCB4	1	3
HS	FZD7	DVL1	1	3
HS	FZD7	DVL2	1	3
HS	FZD7	DVL3	1	3
HS	FZD7	PLCB1	1	3
HS	FZD7	PLCB2	1	3
HS	FZD7	PLCB3	1	3
HS	FZD7	PLCB4	1	3
HS	FZD8	DVL1	1	3
HS	FZD8	DVL2	1	3
