AAF;IFN-alpha activation factor;AAF$CONS;6
AAF;IFN-alpha activation factor;HS$GBP_02;6;G000264
ACE2;ACE2,YLR131C;HS$HMOX1_13;2;G000287
ACE2;ACE2,YLR131C;Y$CTS1_01;2;G002207
ACE2;ACE2,YLR131C;Y$SIC1_02;2;G002206
AS-C T3;Achaete-Scute T3,AS-C T3,L'Sc,L'Sc,Lethal of Scute;DROME$AC_01;6;G000089
AS-C T3;Achaete-Scute T3,AS-C T3,L'Sc,L'Sc,Lethal of Scute;DROME$HB_12;6;G000103
AS-C T3;Achaete-Scute T3,AS-C T3,L'Sc,L'Sc,Lethal of Scute;MOUSE$IGKL_07;6;G000538
AS-C T3;Achaete-Scute T3,AS-C T3,L'Sc,L'Sc,Lethal of Scute;MOUSE$IGKL_08;6;G000538
AS-C T3;Achaete-Scute T3,AS-C T3,L'Sc,L'Sc,Lethal of Scute;MOUSE$IGKL_09;6;G000538
Sc;Achaete-Scute T4,AS-C T4,Sc,Scute,Sis-b,Sisterless-b;DROME$AC_01;6;G000089
Sc;Achaete-Scute T4,AS-C T4,Sc,Scute,Sis-b,Sisterless-b;DROME$HB_12;6;G000103
Ac;Ac,Achaete,Achaete-Scute T5,AS-C T5;DROME$AC_01;6;G000089
Ac;Ac,Achaete,Achaete-Scute T5,AS-C T5;DROME$HB_12;6;G000103
PRDII-BF1;alphaA-CRYBP1,PRDII-BF1;AACRYBP1$CONS_01;4
Adf-1;Adf-1;ADF1$CONS_01;6
Adf-1;Adf-1;DROME$ADH_06;6;G000091
Adf-1;Adf-1;DROME$ADH_07;6;G000091
Adf-1;Adf-1;DROME$ADH_08;6;G000091
Adf-1;Adf-1;DROME$ADH_14;6;G000091
Adf-1;Adf-1;DROME$ADH_15;6;G000091
Adf-1;Adf-1;DROME$ANTP_02;6;G000092
Adf-1;Adf-1;DROME$ANTP_03;6;G000092
Adf-1;Adf-1;DROME$ANTP_04;6;G000092
Adf-1;Adf-1;DROME$DDC_01;6;G000094
Adf-1;Adf-1;DROME$DPP_35;6;G000096
Adf-1;Adf-1;DROOR$ADH_08;6;G000128
Adf-1;Adf-1;DROOR$ADH_18;6;G000128
Adf-2a;Adf-2a;DROME$ADH_03;6;G000091
Adf-2b;Adf-2b;DROME$ADH_11;6;G000091
ADR1;ADR1,YDR216W;ADR1$CONS_02;6
ADR1;ADR1,YDR216W;AS$ADR1_01;2
ADR1;ADR1,YDR216W;AS$ADR1_02;2
ADR1;ADR1,YDR216W;AS$ADR1_03;2
ADR1;ADR1,YDR216W;AS$ADR1_04;2
ADR1;ADR1,YDR216W;AS$ADR1_05;2
ADR1;ADR1,YDR216W;AS$ADR1_06;2
ADR1;ADR1,YDR216W;AS$ADR1_07;2
ADR1;ADR1,YDR216W;AS$ADR1_08;2
ADR1;ADR1,YDR216W;AS$ADR1_09;2
ADR1;ADR1,YDR216W;AS$ADR1_10;2
ADR1;ADR1,YDR216W;AS$ADR1_11;2
ADR1;ADR1,YDR216W;AS$ADR1_12;2
ADR1;ADR1,YDR216W;AS$ADR1_13;2
ADR1;ADR1,YDR216W;AS$ADR1_14;2
ADR1;ADR1,YDR216W;AS$ADR1_15;2
ADR1;ADR1,YDR216W;AS$ADR1_16;2
ADR1;ADR1,YDR216W;Y$ACS1_02;6;G002953
ADR1;ADR1,YDR216W;Y$ADH2_01;1;G000871
ADR1;ADR1,YDR216W;Y$ADH2_02;1;G000871
ADR1;ADR1,YDR216W;Y$ADH2_03;2;G000871
ADR1;ADR1,YDR216W;Y$ADH2_05;2;G000871
ADR1;ADR1,YDR216W;Y$CTA1_02;2;G000900
ADR1;ADR1,YDR216W;Y$CTA1_05;2;G000900
ADR1;ADR1,YDR216W;Y$CYB2_05;2;G000903
ADR1;ADR1,YDR216W;Y$GUT1_01;2;G052060
ADR1;ADR1,YDR216W;Y$PIP2_01;2;G004360
ADR1;ADR1,YDR216W;Y$POX1_06;2;G000961
ADR1;ADR1,YDR216W;Y$SPS19_01;2;G092794
AF-2;accessory factor 2,AF2;RAT$PEPCK_16;6;G000782
AFP1;AFP-1,alpha fetoprotein enhancer binding protein,AT-binding transcription factor 1,ATBF1;HBV$SA_02;6;G000162
